Name,Price,Year,Mileage,Additional Details,Location,Link,Label
TOYOTA COROLLA VERSO MANUAL DIESEL 7 SEATER 2009,"£1,650",2009," 115,000 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 2,213 cc","Neasden, London",https://www.gumtree.com/p/toyota/toyota-corolla-verso-manual-diesel-7-seater-2009/1429761704,BCLV
2016 Hyundai i800 2.5 CRDi SE Auto Euro 6 5dr +8 Seater +ULEZ +Euro6 +Bluetooth,"£12,980",2016," 128,100 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 2,497 cc","Edmonton, London",https://www.gumtree.com/p/hyundai/2016-hyundai-i800-2.5-crdi-se-auto-euro-6-5dr-8-seater-ulez-euro6-bluetooth/1428474483,BCLV
Fiat 500 1.2 Lounge Dualogic (s/s) 3dr Petrol,"£8,795",2013," 24,768 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,242 cc","Mitcham, London",https://www.gumtree.com/p/fiat/fiat-500-1.2-lounge-dualogic-s-s-3dr-petrol/1422269891,GCHV
BMW 120,"£2,750",2012," 160,000 miles","Fuel type: Diesel, Engine size: 1,995 cc","Chingford, London",https://www.gumtree.com/p/bmw/bmw-120/1430712934,BCLV
Pco Toyota Prius plus,"£20,500",2017," 95,000 miles",Fuel type: Hybrid Electric,"Heathrow, London",https://www.gumtree.com/p/toyota/pco-toyota-prius-plus-/1428551665,BCHV
53 REG LAND ROVER DISCOVERY 2.5 TD5 AUTOMATIC 7 SEATER,"£4,995",2003," 128,000 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 2,495 cc","Romford, London",https://www.gumtree.com/p/land-rover/53-reg-land-rover-discovery-2.5-td5-automatic-7-seater/1431286609,GCLV
2015 Ford Fiesta 1.25 82 Zetec 3dr HATCHBACK Petrol Manual,"£7,145",2015," 51,350 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,241 cc","Palmers Green, London",https://www.gumtree.com/p/ford/2015-ford-fiesta-1.25-82-zetec-3dr-hatchback-petrol-manual/1431286608,GCLV
2012 AUTOMATIC AUDI A4 2.0 BLACK EDITION AVANT,"£10,950",2012," 92,000 miles","Fuel type: Petrol, Engine size: 1,984 cc","Islington, London",https://www.gumtree.com/p/audi/2012-automatic-audi-a4-2.0-black-edition-avant/1431286493,BCHV
Dacia Sandero DACIA SANDERO 1.0 SCe Essential 5dr Petrol,"£7,400",2019," 50,940 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 998 cc","Enfield, London",https://www.gumtree.com/p/dacia/dacia-sandero-dacia-sandero-1.0-sce-essential-5dr-petrol/1428268854,GCLV
BMW 5 Series 3.0 530d M Sport Auto (s/s) 4dr Diesel,"£27,489",2018," 37,000 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 2,993 cc","Norbury, London",https://www.gumtree.com/p/bmw/bmw-5-series-3.0-530d-m-sport-auto-s-s-4dr-diesel/1423477273,GCHV
